review_id,source_id,axis,tier,context_json,left,right,human_choice,confidence_1_5,notes
review-0001,cnn-contraction_register-silver-g16-a_context,contraction_register,silver,"{""compression_bps"": 5600, ""directness_bps"": 7200, ""energy_bps"": 5577, ""identity_relevance_bps"": 4570, ""novelty_pressure_bps"": 5844, ""playfulness_bps"": 5120, ""semantic_specificity_bps"": 5398, ""warmth_bps"": 8200}","Two local articles repeat the same claim. Every report traces back to one city press release. That is one source chain, not independent confirmation. The record cannot establish more than this.","Two local articles repeat the same claim. Every report traces back to one city press release. That is one source chain, not independent confirmation. The record can't establish more than this.",,,
review-0002,cnn-voice-platinum-g38-a_context,voice,platinum,"{""compression_bps"": 5278, ""directness_bps"": 7800, ""energy_bps"": 6820, ""identity_relevance_bps"": 5183, ""novelty_pressure_bps"": 4509, ""playfulness_bps"": 4535, ""semantic_specificity_bps"": 5153, ""warmth_bps"": 5329}","19 sessions support the tendency that the user notices contradictions quickly. The pattern remains revisable. Store it as a behavioral tendency, not an invariant.","The tendency that the user notices contradictions quickly is supported by 19 sessions. The pattern remains revisable. Store it as a behavioral tendency, not an invariant.",,,
review-0003,cnn-comma_cadence-gold-g07-a_context,comma_cadence,gold,"{""compression_bps"": 5302, ""directness_bps"": 5170, ""energy_bps"": 3980, ""identity_relevance_bps"": 4982, ""novelty_pressure_bps"": 4931, ""playfulness_bps"": 5472, ""semantic_specificity_bps"": 4725, ""warmth_bps"": 6700}","The audit log shows 29 separate charges, and two of the charges share the same authorization code, but the duplicate code does not by itself prove intent.",The audit log shows 29 separate charges. Two of the charges share the same authorization code. The duplicate code does not by itself prove intent.,,,
review-0004,cnn-contraction_register-silver-g34-a_context,contraction_register,silver,"{""compression_bps"": 4664, ""directness_bps"": 7200, ""energy_bps"": 4545, ""identity_relevance_bps"": 4281, ""novelty_pressure_bps"": 4611, ""playfulness_bps"": 4881, ""semantic_specificity_bps"": 4315, ""warmth_bps"": 8200}",The checkpoint loader failed before checkpoint loading completed. All 15 recorded attempts ended in truncated payload. Zero attempts reached the next stage. The record can't establish more than this.,The checkpoint loader failed before checkpoint loading completed. All 15 recorded attempts ended in truncated payload. Zero attempts reached the next stage. The record cannot establish more than this.,,,
review-0005,cnn-noun_repetition-gold-g26-a_context,noun_repetition,gold,"{""compression_bps"": 5073, ""directness_bps"": 5413, ""energy_bps"": 5432, ""identity_relevance_bps"": 6275, ""novelty_pressure_bps"": 4871, ""playfulness_bps"": 5621, ""semantic_specificity_bps"": 8400, ""warmth_bps"": 4824}",The request to merge the pull request is complete. It is supported by this evidence: that outcome appears in the court filing. No later status is available.,The request to merge the pull request is complete. The documented result is supported by this evidence: that outcome appears in the court filing. No later status is available.,,,
review-0006,cnn-parenthetical_caveat-silver-g02-a_context,parenthetical_caveat,silver,"{""compression_bps"": 8500, ""directness_bps"": 5008, ""energy_bps"": 6200, ""identity_relevance_bps"": 4657, ""novelty_pressure_bps"": 5418, ""playfulness_bps"": 4274, ""semantic_specificity_bps"": 4890, ""warmth_bps"": 5045}",The measured error rate was 75%. The observed value is above the threshold. The frozen threshold was 66%.,The measured error rate was 75% (the observed value is above the threshold). The frozen threshold was 66%.,,,
review-0007,cnn-parenthetical_caveat-platinum-g15-a_context,parenthetical_caveat,platinum,"{""compression_bps"": 7450, ""directness_bps"": 4843, ""energy_bps"": 5840, ""identity_relevance_bps"": 5372, ""novelty_pressure_bps"": 5624, ""playfulness_bps"": 5387, ""semantic_specificity_bps"": 4678, ""warmth_bps"": 5506}","The phrase critic may rank wording that already passed every hard gate (a preference score cannot rescue an ineligible candidate). The verifier retains authority over semantics, slots, identity conflicts, and evidence.","The phrase critic may rank wording that already passed every hard gate. A preference score cannot rescue an ineligible candidate. The verifier retains authority over semantics, slots, identity conflicts, and evidence.",,,
review-0008,cnn-semicolon_rhythm-silver-g21-a_context,semicolon_rhythm,silver,"{""compression_bps"": 7600, ""directness_bps"": 5969, ""energy_bps"": 5200, ""identity_relevance_bps"": 4391, ""novelty_pressure_bps"": 4225, ""playfulness_bps"": 4419, ""semantic_specificity_bps"": 5392, ""warmth_bps"": 5624}","The phrase critic may rank wording that already passed every hard gate; the verifier retains authority over semantics, slots, identity conflicts, and evidence; a preference score cannot rescue an ineligible candidate.","The phrase critic may rank wording that already passed every hard gate. The verifier retains authority over semantics, slots, identity conflicts, and evidence. A preference score cannot rescue an ineligible candidate.",,,
review-0009,cnn-noun_repetition-silver-g00-a_context,noun_repetition,silver,"{""compression_bps"": 5375, ""directness_bps"": 4923, ""energy_bps"": 4273, ""identity_relevance_bps"": 6500, ""novelty_pressure_bps"": 4755, ""playfulness_bps"": 5577, ""semantic_specificity_bps"": 9000, ""warmth_bps"": 4305}",The pattern that the user values evidence over reassurance appears across 17 sessions. The documented result is supported by this evidence: each observation has a recorded source. The pattern remains revisable.,The pattern that the user values evidence over reassurance appears across 17 sessions. It is supported by this evidence: each observation has a recorded source. The pattern remains revisable.,,,
review-0010,cnn-warmth_marker-platinum-g20-a_context,warmth_marker,platinum,"{""compression_bps"": 5263, ""directness_bps"": 4591, ""energy_bps"": 4452, ""identity_relevance_bps"": 6050, ""novelty_pressure_bps"": 5129, ""playfulness_bps"": 4883, ""semantic_specificity_bps"": 4979, ""warmth_bps"": 7940}",The continuity is useful when it stays evidence-bound. The pattern that the user values evidence over reassurance appears across 7 sessions. Each observation has a recorded source. The pattern remains revisable.,Here is the factual core. The pattern that the user values evidence over reassurance appears across 7 sessions. Each observation has a recorded source. The pattern remains revisable.,,,
review-0011,cnn-parenthetical_caveat-gold-g07-a_context,parenthetical_caveat,gold,"{""compression_bps"": 7975, ""directness_bps"": 4861, ""energy_bps"": 6020, ""identity_relevance_bps"": 5563, ""novelty_pressure_bps"": 4361, ""playfulness_bps"": 5195, ""semantic_specificity_bps"": 4526, ""warmth_bps"": 5500}","Three checks passed, but the throughput gate failed. The run is not a pass. The observed throughput was 32 items/s, below a frozen minimum of 42 items/s.","Three checks passed, but the throughput gate failed (the run is not a pass). The observed throughput was 32 items/s, below a frozen minimum of 42 items/s.",,,
review-0012,cnn-warmth_marker-platinum-g39-a_context,warmth_marker,platinum,"{""compression_bps"": 4517, ""directness_bps"": 4547, ""energy_bps"": 5316, ""identity_relevance_bps"": 6050, ""novelty_pressure_bps"": 5174, ""playfulness_bps"": 5466, ""semantic_specificity_bps"": 4734, ""warmth_bps"": 7940}",That failure is frustrating. The workflow runner failed before evaluation completed. All 16 recorded attempts ended in replay divergence. Zero attempts reached the next stage.,Here is the factual core. The workflow runner failed before evaluation completed. All 16 recorded attempts ended in replay divergence. Zero attempts reached the next stage.,,,
review-0013,cnn-contraction_register-gold-g00-a_context,contraction_register,gold,"{""compression_bps"": 5178, ""directness_bps"": 6870, ""energy_bps"": 5260, ""identity_relevance_bps"": 5243, ""novelty_pressure_bps"": 4548, ""playfulness_bps"": 5429, ""semantic_specificity_bps"": 4617, ""warmth_bps"": 7720}","Three checks passed, but the replay agreement gate failed. The observed replay agreement was 78%, below a frozen minimum of 85%. The run isn't a pass. The record can't establish more than this.","Three checks passed, but the replay agreement gate failed. The observed replay agreement was 78%, below a frozen minimum of 85%. The run is not a pass. The record cannot establish more than this.",,,
review-0014,cnn-semicolon_rhythm-platinum-g10-a_context,semicolon_rhythm,platinum,"{""compression_bps"": 6820, ""directness_bps"": 4985, ""energy_bps"": 5140, ""identity_relevance_bps"": 4915, ""novelty_pressure_bps"": 5535, ""playfulness_bps"": 4532, ""semantic_specificity_bps"": 4759, ""warmth_bps"": 5317}","The model is not ready for live influence. Held-out accuracy is 72%, while the control is 58%. The comparison does not establish a reliable advantage.","The model is not ready for live influence; held-out accuracy is 72%, while the control is 58%; the comparison does not establish a reliable advantage.",,,
review-0015,cnn-colon_compaction-platinum-g30-a_context,colon_compaction,platinum,"{""compression_bps"": 8010, ""directness_bps"": 7660, ""energy_bps"": 4815, ""identity_relevance_bps"": 4941, ""novelty_pressure_bps"": 5226, ""playfulness_bps"": 5670, ""semantic_specificity_bps"": 5506, ""warmth_bps"": 4479}","Two agency summaries repeat the same claim. Every report traces back to one contractor memo. That is one source chain, not independent confirmation.","Result: Two agency summaries repeat the same claim. Evidence: Every report traces back to one contractor memo. Limit: That is one source chain, not independent confirmation.",,,
review-0016,cnn-colon_compaction-platinum-g47-a_context,colon_compaction,platinum,"{""compression_bps"": 8010, ""directness_bps"": 7660, ""energy_bps"": 4446, ""identity_relevance_bps"": 5130, ""novelty_pressure_bps"": 5658, ""playfulness_bps"": 4447, ""semantic_specificity_bps"": 4629, ""warmth_bps"": 4788}","The model is not ready for live influence. Held-out accuracy was 81%, while the control is 61%. The comparison cannot support a reliable advantage.","Result: The model is not ready for live influence. Evidence: Held-out accuracy was 81%, while the control is 61%. Limit: The comparison cannot support a reliable advantage.",,,
review-0017,cnn-imagery_density-platinum-g00-a_context,imagery_density,platinum,"{""compression_bps"": 5237, ""directness_bps"": 4623, ""energy_bps"": 4804, ""identity_relevance_bps"": 5303, ""novelty_pressure_bps"": 8010, ""playfulness_bps"": 7800, ""semantic_specificity_bps"": 5621, ""warmth_bps"": 4972}","The critic selects among valid surfaces and does not authorize content. The phrase critic may rank wording that already passed every hard gate. The verifier retains authority over semantics, slots, identity conflicts, and evidence. A preference score cannot rescue an ineligible candidate.","The critic is a taste bud behind a locked kitchen door. The critic selects among valid surfaces and does not authorize content. The phrase critic may rank wording that already passed every hard gate. The verifier retains authority over semantics, slots, identity conflicts, and evidence. A preference score cannot rescue an ineligible candidate.",,,
review-0018,cnn-parenthetical_caveat-gold-g14-a_context,parenthetical_caveat,gold,"{""compression_bps"": 7975, ""directness_bps"": 4556, ""energy_bps"": 6020, ""identity_relevance_bps"": 5211, ""novelty_pressure_bps"": 5482, ""playfulness_bps"": 4381, ""semantic_specificity_bps"": 5022, ""warmth_bps"": 4549}",The measured replay agreement was 67%. The observed value is above the threshold. The frozen threshold was 66%.,The measured replay agreement was 67% (the observed value is above the threshold). The frozen threshold was 66%.,,,
review-0019,cnn-opener_length-gold-g49-a_context,opener_length,gold,"{""compression_bps"": 8400, ""directness_bps"": 8740, ""energy_bps"": 5025, ""identity_relevance_bps"": 4558, ""novelty_pressure_bps"": 5068, ""playfulness_bps"": 4687, ""semantic_specificity_bps"": 5799, ""warmth_bps"": 5097}",The current record supports this result: The attempt to accept the claim is blocked by a missing permission. That outcome appears in the commit history. The record contains no subsequent status.,Result: The attempt to accept the claim is blocked by a missing permission. That outcome appears in the commit history. The record contains no subsequent status.,,,
review-0020,cnn-explicit_labels-gold-g28-a_context,explicit_labels,gold,"{""compression_bps"": 4688, ""directness_bps"": 8400, ""energy_bps"": 5546, ""identity_relevance_bps"": 5127, ""novelty_pressure_bps"": 5038, ""playfulness_bps"": 4975, ""semantic_specificity_bps"": 8825, ""warmth_bps"": 4800}",The metric ledger shows 17 separate charges. Two of the charges share the same authorization code. The duplicate code does not by itself prove intent.,Fact: The metric ledger shows 17 separate charges. Evidence: Two of the charges share the same authorization code. Limit: The duplicate code does not by itself prove intent.,,,
review-0021,cnn-terminology-platinum-g18-a_context,terminology,platinum,"{""compression_bps"": 5025, ""directness_bps"": 6820, ""energy_bps"": 5060, ""identity_relevance_bps"": 4890, ""novelty_pressure_bps"": 5479, ""playfulness_bps"": 4482, ""semantic_specificity_bps"": 8220, ""warmth_bps"": 4519}",The critic can choose wording only after every required check passes. A preference score cannot rescue an ineligible candidate. Keep verification upstream of ranking.,Ranking authority is restricted to verifier-eligible candidate identifiers. A preference score cannot rescue an ineligible candidate. Keep verification upstream of ranking.,,,
review-0022,cnn-colon_compaction-gold-g25-a_context,colon_compaction,gold,"{""compression_bps"": 8655, ""directness_bps"": 8230, ""energy_bps"": 5493, ""identity_relevance_bps"": 5471, ""novelty_pressure_bps"": 5461, ""playfulness_bps"": 5013, ""semantic_specificity_bps"": 5247, ""warmth_bps"": 5131}","Result: The commit history documents the event on July 23, 2026 at 09:37 EDT. Evidence: It records that the team chose to accept the claim. Limit: It does not establish why that choice was made.","The commit history documents the event on July 23, 2026 at 09:37 EDT. It records that the team chose to accept the claim. It does not establish why that choice was made.",,,
review-0023,cnn-comma_cadence-silver-g46-a_context,comma_cadence,silver,"{""compression_bps"": 4438, ""directness_bps"": 5403, ""energy_bps"": 3800, ""identity_relevance_bps"": 4800, ""novelty_pressure_bps"": 4395, ""playfulness_bps"": 5251, ""semantic_specificity_bps"": 5570, ""warmth_bps"": 7000}","Two local articles restate the same claim. Each report ultimately depends on one city press release. That is one source chain, not independent confirmation.","Two local articles restate the same claim, and each report ultimately depends on one city press release, but that is one source chain, not independent confirmation.",,,
review-0024,cnn-warmth_marker-gold-g13-a_context,warmth_marker,gold,"{""compression_bps"": 4342, ""directness_bps"": 4379, ""energy_bps"": 5277, ""identity_relevance_bps"": 6275, ""novelty_pressure_bps"": 4327, ""playfulness_bps"": 4791, ""semantic_specificity_bps"": 5182, ""warmth_bps"": 8570}","Here is the factual core. The phrase critic may rank wording that already passed every hard gate. The verifier retains authority over semantics, slots, identity conflicts, and evidence. A preference score cannot rescue an ineligible candidate.","The boundary is what makes the learned critic safe to evaluate. The phrase critic may rank wording that already passed every hard gate. The verifier retains authority over semantics, slots, identity conflicts, and evidence. A preference score cannot rescue an ineligible candidate.",,,
review-0025,cnn-semicolon_rhythm-platinum-g46-a_context,semicolon_rhythm,platinum,"{""compression_bps"": 6820, ""directness_bps"": 5270, ""energy_bps"": 5140, ""identity_relevance_bps"": 5522, ""novelty_pressure_bps"": 4703, ""playfulness_bps"": 5238, ""semantic_specificity_bps"": 5154, ""warmth_bps"": 5340}","The model is not ready for live influence. Held-out accuracy was 72%, while the control is 48%. The comparison cannot support a reliable advantage.","The model is not ready for live influence; held-out accuracy was 72%, while the control is 48%; the comparison cannot support a reliable advantage.",,,
review-0026,cnn-opener_length-silver-g23-a_context,opener_length,silver,"{""compression_bps"": 9000, ""directness_bps"": 9400, ""energy_bps"": 5065, ""identity_relevance_bps"": 5238, ""novelty_pressure_bps"": 5755, ""playfulness_bps"": 4842, ""semantic_specificity_bps"": 5464, ""warmth_bps"": 5528}",The current record supports this result: The pattern that the user prefers direct technical language appears across 14 sessions. Each observation has a recorded source. The pattern remains revisable.,Result: The pattern that the user prefers direct technical language appears across 14 sessions. Each observation has a recorded source. The pattern remains revisable.,,,
review-0027,cnn-semicolon_rhythm-silver-g31-a_context,semicolon_rhythm,silver,"{""compression_bps"": 7600, ""directness_bps"": 5867, ""energy_bps"": 5200, ""identity_relevance_bps"": 4795, ""novelty_pressure_bps"": 5337, ""playfulness_bps"": 5425, ""semantic_specificity_bps"": 5028, ""warmth_bps"": 5943}","The record changed on July 2, 2026 at 23:31 EDT; the database snapshot contains that timestamp; no narrower timestamp is available.","The record changed on July 2, 2026 at 23:31 EDT. The database snapshot contains that timestamp. No narrower timestamp is available.",,,
review-0028,cnn-noun_repetition-gold-g46-a_context,noun_repetition,gold,"{""compression_bps"": 4535, ""directness_bps"": 4765, ""energy_bps"": 5791, ""identity_relevance_bps"": 6275, ""novelty_pressure_bps"": 4358, ""playfulness_bps"": 5837, ""semantic_specificity_bps"": 8400, ""warmth_bps"": 5141}",The email thread shows 7 separate charges. The documented result is supported by this evidence: two of the charges share the same authorization code. The duplicate code does not by itself prove intent.,The email thread shows 7 separate charges. It is supported by this evidence: two of the charges share the same authorization code. The duplicate code does not by itself prove intent.,,,
review-0029,cnn-colon_compaction-gold-g06-a_context,colon_compaction,gold,"{""compression_bps"": 8655, ""directness_bps"": 8230, ""energy_bps"": 5527, ""identity_relevance_bps"": 5431, ""novelty_pressure_bps"": 5817, ""playfulness_bps"": 5263, ""semantic_specificity_bps"": 4812, ""warmth_bps"": 5071}","Two local articles repeat the same claim. Every report traces back to one city press release. That is one source chain, not independent confirmation.","Result: Two local articles repeat the same claim. Evidence: Every report traces back to one city press release. Limit: That is one source chain, not independent confirmation.",,,
review-0030,cnn-warmth_marker-platinum-g18-a_context,warmth_marker,platinum,"{""compression_bps"": 5641, ""directness_bps"": 5325, ""energy_bps"": 5067, ""identity_relevance_bps"": 6050, ""novelty_pressure_bps"": 5171, ""playfulness_bps"": 5351, ""semantic_specificity_bps"": 5540, ""warmth_bps"": 7940}",That would leave anyone feeling shaken. The court filing shows 42 separate charges. Two of the charges share the same authorization code. The duplicate code does not by itself prove intent.,Here is the factual core. The court filing shows 42 separate charges. Two of the charges share the same authorization code. The duplicate code does not by itself prove intent.,,,
review-0031,cnn-voice-silver-g16-a_context,voice,silver,"{""compression_bps"": 5494, ""directness_bps"": 9000, ""energy_bps"": 7600, ""identity_relevance_bps"": 5328, ""novelty_pressure_bps"": 4520, ""playfulness_bps"": 5849, ""semantic_specificity_bps"": 5100, ""warmth_bps"": 5712}",The signed receipt lists the request to update the identity claim as blocked by a missing permission. No later status is available. Use the recorded status as the current answer.,The request to update the identity claim is listed as blocked by a missing permission in the signed receipt. No later status is available. Use the recorded status as the current answer.,,,
review-0032,cnn-terminology-gold-g13-a_context,terminology,gold,"{""compression_bps"": 4734, ""directness_bps"": 7210, ""energy_bps"": 4478, ""identity_relevance_bps"": 5466, ""novelty_pressure_bps"": 5572, ""playfulness_bps"": 5509, ""semantic_specificity_bps"": 8910, ""warmth_bps"": 5736}","The user has shown the same preference in 12 recorded sessions. The pattern remains revisable. Store it as a behavioral tendency, not an invariant.","12 sourced observations support the behavioral tendency that the user prefers direct technical language. The pattern remains revisable. Store it as a behavioral tendency, not an invariant.",,,
review-0033,cnn-comma_cadence-gold-g38-a_context,comma_cadence,gold,"{""compression_bps"": 4614, ""directness_bps"": 4631, ""energy_bps"": 3980, ""identity_relevance_bps"": 4635, ""novelty_pressure_bps"": 5033, ""playfulness_bps"": 4575, ""semantic_specificity_bps"": 4930, ""warmth_bps"": 6700}","The phrase critic may rank wording that already passed every hard gate, and the verifier retains authority over semantics, slots, identity conflicts, and evidence, but a preference score cannot rescue an ineligible candidate.","The phrase critic may rank wording that already passed every hard gate. The verifier retains authority over semantics, slots, identity conflicts, and evidence. A preference score cannot rescue an ineligible candidate.",,,
review-0034,cnn-imagery_density-platinum-g38-a_context,imagery_density,platinum,"{""compression_bps"": 4735, ""directness_bps"": 5044, ""energy_bps"": 5317, ""identity_relevance_bps"": 5261, ""novelty_pressure_bps"": 8010, ""playfulness_bps"": 7800, ""semantic_specificity_bps"": 5491, ""warmth_bps"": 5393}","The failed replay gate is a locked door, not a dimmer switch. A failed gate blocks the candidate completely. The dataset validator failed before replay completed. All 4 recorded attempts ended in empty candidate set. Zero attempts reached the next stage.",A failed gate blocks the candidate completely. The dataset validator failed before replay completed. All 4 recorded attempts ended in empty candidate set. Zero attempts reached the next stage.,,,
review-0035,cnn-voice-gold-g21-a_context,voice,gold,"{""compression_bps"": 4367, ""directness_bps"": 8400, ""energy_bps"": 7210, ""identity_relevance_bps"": 5585, ""novelty_pressure_bps"": 4919, ""playfulness_bps"": 4402, ""semantic_specificity_bps"": 4485, ""warmth_bps"": 5284}",The response verifier stopped model export after schema rejection. Zero attempts reached the next stage. Inspect the sensor export before retrying.,Model export was stopped by schema rejection in the response verifier. Zero attempts reached the next stage. Inspect the sensor export before retrying.,,,
review-0036,cnn-noun_repetition-gold-g02-a_context,noun_repetition,gold,"{""compression_bps"": 4476, ""directness_bps"": 4569, ""energy_bps"": 4987, ""identity_relevance_bps"": 6275, ""novelty_pressure_bps"": 5192, ""playfulness_bps"": 5436, ""semantic_specificity_bps"": 8400, ""warmth_bps"": 5795}",The request to merge the pull request is stopped by a frozen gate. It is supported by this evidence: that outcome appears in the court filing. No later status is available.,The request to merge the pull request is stopped by a frozen gate. The documented result is supported by this evidence: that outcome appears in the court filing. No later status is available.,,,
review-0037,cnn-explicit_labels-gold-g00-a_context,explicit_labels,gold,"{""compression_bps"": 4796, ""directness_bps"": 8400, ""energy_bps"": 4587, ""identity_relevance_bps"": 5335, ""novelty_pressure_bps"": 4593, ""playfulness_bps"": 4867, ""semantic_specificity_bps"": 8825, ""warmth_bps"": 4473}","The model is not ready for live influence. Held-out accuracy is 62%, while the control is 58%. The comparison does not establish a reliable advantage.","Fact: The model is not ready for live influence. Evidence: Held-out accuracy is 62%, while the control is 58%. Limit: The comparison does not establish a reliable advantage.",,,
review-0038,cnn-colon_compaction-silver-g04-a_context,colon_compaction,silver,"{""compression_bps"": 9300, ""directness_bps"": 8800, ""energy_bps"": 4426, ""identity_relevance_bps"": 5177, ""novelty_pressure_bps"": 4680, ""playfulness_bps"": 4265, ""semantic_specificity_bps"": 4419, ""warmth_bps"": 4333}",I would not update the identity claim yet. The metric ledger contains a conflicting timestamp. The conflict is unresolved.,Result: I would not update the identity claim yet. Evidence: The metric ledger contains a conflicting timestamp. Limit: The conflict is unresolved.,,,
review-0039,cnn-comma_cadence-gold-g48-a_context,comma_cadence,gold,"{""compression_bps"": 4745, ""directness_bps"": 4682, ""energy_bps"": 3980, ""identity_relevance_bps"": 4512, ""novelty_pressure_bps"": 4557, ""playfulness_bps"": 4522, ""semantic_specificity_bps"": 4912, ""warmth_bps"": 6700}","The invoice was generated on July 15, 2026 at 08:14 EDT. The permit record carries that timestamp. No narrower timestamp is available.","The invoice was generated on July 15, 2026 at 08:14 EDT, and the permit record carries that timestamp, but no narrower timestamp is available.",,,
review-0040,cnn-warmth_marker-gold-g17-a_context,warmth_marker,gold,"{""compression_bps"": 4444, ""directness_bps"": 5777, ""energy_bps"": 4662, ""identity_relevance_bps"": 6275, ""novelty_pressure_bps"": 4485, ""playfulness_bps"": 5599, ""semantic_specificity_bps"": 4521, ""warmth_bps"": 8570}","Here is the factual core. Three checks passed, but the pairwise accuracy gate failed. The observed pairwise accuracy was 83%, below a frozen minimum of 87%. The run is not a pass.","The partial success does not erase the failed gate. Three checks passed, but the pairwise accuracy gate failed. The observed pairwise accuracy was 83%, below a frozen minimum of 87%. The run is not a pass.",,,
review-0041,cnn-comma_cadence-silver-g29-a_context,comma_cadence,silver,"{""compression_bps"": 5685, ""directness_bps"": 4546, ""energy_bps"": 3800, ""identity_relevance_bps"": 4227, ""novelty_pressure_bps"": 4947, ""playfulness_bps"": 4680, ""semantic_specificity_bps"": 5581, ""warmth_bps"": 7000}","The sensor export documents the event on July 11, 2026 at 13:22 EDT. It records that the team chose to enable shadow influence. It does not establish why that choice was made.","The sensor export documents the event on July 11, 2026 at 13:22 EDT, and it records that the team chose to enable shadow influence, but it does not establish why that choice was made.",,,
review-0042,cnn-noun_repetition-platinum-g01-a_context,noun_repetition,platinum,"{""compression_bps"": 5110, ""directness_bps"": 5427, ""energy_bps"": 5669, ""identity_relevance_bps"": 6050, ""novelty_pressure_bps"": 5525, ""playfulness_bps"": 5050, ""semantic_specificity_bps"": 7800, ""warmth_bps"": 5183}","Three social posts repeat the same claim. It is supported by this evidence: every report traces back to one unattributed screenshot. That is one source chain, not independent confirmation.","Three social posts repeat the same claim. The documented result is supported by this evidence: every report traces back to one unattributed screenshot. That is one source chain, not independent confirmation.",,,
review-0043,cnn-opener_length-silver-g13-a_context,opener_length,silver,"{""compression_bps"": 9000, ""directness_bps"": 9400, ""energy_bps"": 4230, ""identity_relevance_bps"": 5823, ""novelty_pressure_bps"": 4747, ""playfulness_bps"": 4557, ""semantic_specificity_bps"": 5489, ""warmth_bps"": 4987}",Result: The request to enable shadow influence is complete. That outcome appears in the sensor export. No later status is available.,The current record supports this result: The request to enable shadow influence is complete. That outcome appears in the sensor export. No later status is available.,,,
