review_id,source_id,axis,tier,context_json,left,right,human_choice,confidence_1_5,notes
review-0001,rnn-disagreement_sequence-silver-g16-a_context,disagreement_sequence,silver,"{""compression_bps"": 5591, ""directness_bps"": 7000, ""energy_bps"": 5646, ""identity_relevance_bps"": 4982, ""novelty_pressure_bps"": 4873, ""playfulness_bps"": 4923, ""semantic_specificity_bps"": 4608, ""warmth_bps"": 8200}","The phrase critic may rank wording that already passed every hard gate. The verifier retains authority over semantics, slots, identity conflicts, and evidence. A preference score cannot rescue an ineligible candidate. The boundary is what makes the learned critic safe to evaluate. Keep verification upstream of ranking.","The boundary is what makes the learned critic safe to evaluate. A preference score cannot rescue an ineligible candidate. The phrase critic may rank wording that already passed every hard gate. The verifier retains authority over semantics, slots, identity conflicts, and evidence. Keep verification upstream of ranking.",,,
review-0002,rnn-uncertainty_placement-platinum-g38-a_context,uncertainty_placement,platinum,"{""compression_bps"": 5130, ""directness_bps"": 6260, ""energy_bps"": 4816, ""identity_relevance_bps"": 5340, ""novelty_pressure_bps"": 4533, ""playfulness_bps"": 4521, ""semantic_specificity_bps"": 7940, ""warmth_bps"": 5306}",The conflict is unresolved. I would not close the review yet. The workflow trace contains a conflicting decision. Review both source records before deciding.,I would not close the review yet. The workflow trace contains a conflicting decision. The conflict is unresolved. Review both source records before deciding.,,,
review-0003,rnn-closure_position-gold-g07-a_context,closure_position,gold,"{""compression_bps"": 4426, ""directness_bps"": 7720, ""energy_bps"": 6700, ""identity_relevance_bps"": 4884, ""novelty_pressure_bps"": 4462, ""playfulness_bps"": 4473, ""semantic_specificity_bps"": 5539, ""warmth_bps"": 5061}",The audit log shows 29 separate charges. Two of the charges share the same authorization code. The duplicate code does not by itself prove intent. Compare the timestamps before assigning a cause.,Compare the timestamps before assigning a cause. The audit log shows 29 separate charges. Two of the charges share the same authorization code. The duplicate code does not by itself prove intent.,,,
review-0004,rnn-disagreement_sequence-silver-g34-a_context,disagreement_sequence,silver,"{""compression_bps"": 4867, ""directness_bps"": 7000, ""energy_bps"": 4291, ""identity_relevance_bps"": 5803, ""novelty_pressure_bps"": 4771, ""playfulness_bps"": 4417, ""semantic_specificity_bps"": 5557, ""warmth_bps"": 8200}",The proposed interpretation is possible. The conflict is unresolved. I would not promote the model yet. The invoice contains a conflicting status. Review both source records before deciding.,I would not promote the model yet. The invoice contains a conflicting status. The conflict is unresolved. The proposed interpretation is possible. Review both source records before deciding.,,,
review-0005,rnn-explanation_depth-gold-g26-a_context,explanation_depth,gold,"{""compression_bps"": 8400, ""directness_bps"": 8060, ""energy_bps"": 5644, ""identity_relevance_bps"": 4460, ""novelty_pressure_bps"": 4782, ""playfulness_bps"": 4523, ""semantic_specificity_bps"": 4450, ""warmth_bps"": 5255}","Here is the complete reasoning. Result: The court filing documents the event on July 21, 2026 at 14:48 EDT. Evidence: It records that the team chose to merge the pull request. Limitation: It does not establish why that choice was made. Next step: Keep the motive classified as a hypothesis.","The court filing documents the event on July 21, 2026 at 14:48 EDT. It records that the team chose to merge the pull request. It does not establish why that choice was made. Keep the motive classified as a hypothesis.",,,
review-0006,rnn-metaphor_position-silver-g02-a_context,metaphor_position,silver,"{""compression_bps"": 5326, ""directness_bps"": 5104, ""energy_bps"": 4916, ""identity_relevance_bps"": 4585, ""novelty_pressure_bps"": 9000, ""playfulness_bps"": 8500, ""semantic_specificity_bps"": 5374, ""warmth_bps"": 4292}","The measured error rate was 75%. The frozen threshold was 66%. The observed value is above the threshold. Report the value and threshold together. The measurement must be interpreted against the frozen threshold. The metric is a coordinate, not a verdict without the threshold.","The metric is a coordinate, not a verdict without the threshold. The measurement must be interpreted against the frozen threshold. The measured error rate was 75%. The frozen threshold was 66%. The observed value is above the threshold. Report the value and threshold together.",,,
review-0007,rnn-metaphor_position-platinum-g15-a_context,metaphor_position,platinum,"{""compression_bps"": 4752, ""directness_bps"": 4463, ""energy_bps"": 4944, ""identity_relevance_bps"": 5526, ""novelty_pressure_bps"": 7800, ""playfulness_bps"": 7450, ""semantic_specificity_bps"": 5032, ""warmth_bps"": 4511}","The critic is a taste bud behind a locked kitchen door. The critic selects among valid surfaces and does not authorize content. The phrase critic may rank wording that already passed every hard gate. The verifier retains authority over semantics, slots, identity conflicts, and evidence. A preference score cannot rescue an ineligible candidate. Keep verification upstream of ranking.","The phrase critic may rank wording that already passed every hard gate. The verifier retains authority over semantics, slots, identity conflicts, and evidence. A preference score cannot rescue an ineligible candidate. Keep verification upstream of ranking. The critic selects among valid surfaces and does not authorize content. The critic is a taste bud behind a locked kitchen door.",,,
review-0008,rnn-result_order-silver-g21-a_context,result_order,silver,"{""compression_bps"": 8200, ""directness_bps"": 9000, ""energy_bps"": 4208, ""identity_relevance_bps"": 4740, ""novelty_pressure_bps"": 5079, ""playfulness_bps"": 5021, ""semantic_specificity_bps"": 4535, ""warmth_bps"": 5238}",The measured slot survival was 66%. The frozen threshold was 67%. The observed value is below the threshold. Report the value and threshold together.,The frozen threshold was 67%. The measured slot survival was 66%. The observed value is below the threshold. Report the value and threshold together.,,,
review-0009,rnn-explanation_depth-silver-g00-a_context,explanation_depth,silver,"{""compression_bps"": 9000, ""directness_bps"": 8600, ""energy_bps"": 4290, ""identity_relevance_bps"": 5061, ""novelty_pressure_bps"": 5912, ""playfulness_bps"": 5499, ""semantic_specificity_bps"": 5927, ""warmth_bps"": 5667}","The model is not ready for live influence. Held-out accuracy is 70%, while the control is 74%. The comparison does not establish a reliable advantage. Run the preregistered comparison before promotion.","Here is the complete reasoning. Result: The model is not ready for live influence. Evidence: Held-out accuracy is 70%, while the control is 74%. Limitation: The comparison does not establish a reliable advantage. Next step: Run the preregistered comparison before promotion.",,,
review-0010,rnn-warmth_placement-platinum-g20-a_context,warmth_placement,platinum,"{""compression_bps"": 5146, ""directness_bps"": 5700, ""energy_bps"": 4528, ""identity_relevance_bps"": 5177, ""novelty_pressure_bps"": 5095, ""playfulness_bps"": 5414, ""semantic_specificity_bps"": 4505, ""warmth_bps"": 7660}",The number is useful only with its comparison point. The measured loss was 80. The frozen threshold was 92. The observed value is below the threshold. Report the value and threshold together.,The measured loss was 80. The frozen threshold was 92. The observed value is below the threshold. Report the value and threshold together. The number is useful only with its comparison point.,,,
